NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,NETWORK,ABBR,OPER_NAME,FW13_NUM
Ashland 8S,Clark,37.064758,-99.75109,562,KSRE,ASUK1,Ashland 8S,140201
Ashland Bottoms,Riley,39.125773,-96.63653,324.612,KSRE,ASBK1,Ashland Bottoms,142201
Belleville 2W,Republic,39.81409,-97.675093,471,KSRE,BVMK1,Belleville 2W,140301
Butler,Butler,37.80431,-96.88306,400.812,KSRE,EDCK1,Butler College,146901
Cairo,Pratt,37.650257,-98.55513,524.8656,BBW,WCAK1,Cairo,3
Cherokee,Cherokee,37.19898,-94.9809,263.35,KSRE,CRKK1,Cherokee,149902
Cheyenne,Cheyenne,39.633333,-101.815833,1113.7392,KSRE,KCNK1,Saint Francis 10S,140101
CheyenneTower,Cheyenne,39.633333,-101.815833,1113.7392,KSRE,KCNK1,Saint Francis 10S,140101
Clay,Clay,39.41796,-97.13977,388.3152,KSRE,CKMK1,Clay Center,142101
Colby,Thomas,39.39247,-101.06864,972.312,KSRE,CBKK1,Colby,141401
Corning 2NW,Nemaha,39.6883,-96.0518,410,KSRE,CORK1,Corning 2NW,144908
Cullison,Pratt,37.630581,-98.905373,620.8776,BBW,WCUK1,Cullison,8
East Sedgwick,Sedgwick,37.871,-97.205,427.0248,,,,9
Elmdale 1SE,Chase,38.36252,-96.618227,406,KSRE,EMLK1,Elmdale 1SE,145291
Flickner Tech Farm,McPherson,38.203408,-97.572003,447,KSRE,,Flickner Tech Farm,80
Garden City,Finney,37.99292,-100.81218,882.0912,KSRE,GESK1,Garden City,146301
Gove 5SE,Gove,38.9161,-100.396,781,KSRE,,Gove 5SE,148801
Grant,Grant,37.67339,-101.37223,934.212,KSRE,GTUK1,Ulysses,147501
Gray,Gray,37.79157,-100.29734,794.3088,KSRE,GYUK1,Montezuma,147701
Great Bend,Barton,38.364452,-98.764809,585.8256,BBW,WGBK1,Great Bend,13
Greensburg,Kiowa,37.602798,-99.29261,681.228,BBW,WGRK1,Greensburg,14
Gypsum,Saline,38.72522,-97.44415,373,KSRE,GYMK1,Gypsum 1NW,144901
Hamilton,Hamilton,37.99569,-101.86537,987.999,KSRE,HMUK1,Syracuse,146101
Harper,Harper,37.06478,-98.08473,427.6344,KSRE,ANTK1,Anthony 7SW,149101
Harvey,Harvey,38.140699,-97.642002,441.0456,EBW,ATMK1,Alta Mills,18
Haskell,Haskell,37.65916,-101.0267,934.8216,KSRE,HSUK1,Sublette 16NW,147601
Hays,Ellis,38.84945,-99.34461,618.744,KSRE,HASK1,Hays,143101
Haysville,Sedgwick,37.519775,-97.312143,378.428,KSRE,HSVK1,Haysville,148302
Hesston,Harvey,38.1333,-97.4,457.2,,,,22
Hiawatha,Brown,39.84238,-95.48187,308.461,KSRE,HIMK1,Hiawatha,141201
Hill City,Graham,39.37203,-99.83051,665.086,KSRE,HCYK1,Hill City,141601
Hodgeman,Hodgeman,38.10067,-99.9016,715.9752,KSRE,KJTK1,Jetmore 1NNW,146401
HodgemanTower,Hodgeman,38.10067,-99.9016,715.9752,KSRE,KJTK1,Jetmore 1NNW,0
Howard 14NW,Elk,37.55005,-96.49133,480,KSRE,HODK1,Howard 14NW,148901
Hutchinson,Reno,37.93099,-98.02708,465.1248,EBW,PRGK1,Partridge,26
Hutchinson 10SW,Reno,37.93097,-98.02,478.536,KSRE,HINK1,Hutchinson,146701
Jewell,Jewell,39.68342,-98.21306,540.1056,KSRE,JEWK1,Jewell,140701
La Crosse,Rush,38.54097,-99.2805,625.666,KSRE,LCRK1,La Crosse,144601
Lake City,Barber,37.309108,-98.793556,509.3,KSRE,LCUK1,Lake City 3SE,149001
Lakin,Kearny,37.893682,-101.232583,912.865,KSRE,LKUK1,Lakin 3SSE,146201
Lane,Lane,38.5987,-100.47094,872.365,KSRE,LNUK1,Dighton 8WNW,144401
Leoti,Wichita,38.48336,-101.32772,1001.5728,KSRE,KWHK1,Leoti,144201
Lewis,Edwards,37.936127,-99.252609,828.1416,BBW,WLEK1,Lewis,34
Lorraine,Ellsworth,38.55798,-98.35203,542,KSRE,LORK1,Lorraine 2SW,144801
Macksville,Stafford,37.959187,-98.968704,620.268,BBW,WMCK1,Macksville,36
Manhattan,Riley,39.20857,-96.59169,332.232,KSRE,MTNK1,Manhattan,142202
McPherson,McPherson,38.36426,-97.699999,451.104,EBW,MPRK1,McPherson,38
McPherson 1S,McPherson,38.34503,-97.663311,453,KSRE,MCHK1,McPherson 1S,145101
Meade,Meade,37.13484,-100.39561,717.804,KSRE,MEUK1,Meade 11N,148701
