Loc_short,Loc_long,lat,lon,Elev,Stn_ID
5ENE Abernathy,Abernathy/Hale County,33.87538,-101.75718,3333 ft.,ABER
6WSW Adrian,Adrian/Oldham County,35.25347,-102.76158,4260 ft.,ADRI
3WSW Aiken,Aiken/Hale County,34.13305,-101.56952,3321 ft.,AIKE
7SSE Amarillo,Amarillo/Randall County,35.1127,-101.79964,3611 ft.,AMAS
9NNE Amarillo,Amarillo/Potter County,35.33597,-101.80627,3346 ft.,AMAN
15NNW Amarillo,Amarillo/Potter County,35.41648,-101.93224,3323 ft.,AMNW
1NE Amherst,Amherst/Lamb County,34.02178,-102.40453,3647 ft.,AMHE
2E Andrews,Andrews/Andrews County,32.32008,-102.51669,3169 ft.,ANDR
6SSW Anton,Anton/Hockley County,33.72525,-102.19082,3405 ft.,ANTO
3NE Aspermont,Aspermont (Stonewall Co. Airp.),33.16789,-100.19602,1740 ft,ASPE
1WNW Big Lake,Big Lake (Reagan Co. Airport),31.19311,-101.46936,2701 ft.,BIGL
11 WNW Bootleg,Western Deaf Smith County,34.88613,-102.99034,4423 ft.,BOOT
7E Borger,Borger/Spring Creek,35.67137,-101.27561,3120 ft.,BORG
1WSW Boys Ranch,Boys Ranch/Oldham County,35.52604,-102.26796,3205 ft.,BOYS
2S Brownfield,Brownfield/Terry County,33.15188,-102.27102,3314 ft.,BROW
6E Canadian,Gene Howe WMA/Hemphill,35.91842,-100.28453,2425 ft.,CANA
13E Canyon,Palo Duro Canyon SP RIM,34.98564,-101.69248,3461 ft.,PALO
16ESE Canyon,Palo Duro Canyon SP FLOOR,34.93622,-101.63712,2838 ft.,PDCF
"1NW Castolon, BBNP",Big Bend NP/Brewster County,29.14592,-103.52717,2184 ft.,CAST
2NNE Childress,Childress/Childress County,34.4565,-100.19891,1943 ft.,CHIL
2WSW Clarendon,Clarendon/Donley County,34.92492,-100.93,2836 ft.,CLAR
12SW Claude,North Rim PDC/Armstrong Co.,34.98332,-101.50057,3451 ft.,CLAU
2WNW Clyde,Clyde/Callahan County,32.41353,-99.53405,2017 ft.,CLYD
5NW Colorado City,Colorado City/Mitchell County,32.45375,-100.92357,2203 ft.,COLO
Comanche Springs,Comanche Springs/Foard Co.,33.99226,-99.95794,1605 ft.,COMA
2N Coyanosa,Coyanosa/Pecos County,31.27669,-103.06708,2569 ft.,COYA
1NNW Crane,Crane (Crane County Airport),31.41521,-102.36191,2549 ft,CRAN
1E Crowell,Crowell/Foard County,33.98317,-99.71207,1483 ft.,CROW
1N Dell City,Dell City/Hudspeth County,31.94701,-105.19974,3708 ft.,DELL
7WNW Denver City,Denver City/Yoakum County,32.99082,-102.93871,3652 ft.,DENV
2NE Dimmitt,Dimmitt/Castro County,34.56751,-102.29317,3876 ft.,DIMM
3WNW Doole,Eastern Concho County,31.41407,-99.64053,1565 ft.,DOOL
2SW Dora NM,Dora NM/Roosevelt County,33.92005,-103.35778,4340 ft.,DORA
3W Dozier,Dozier/Collingsworth County,35.08036,-100.39058,2267 ft.,DOZI
9WSW Earth,Earth/Lamb County,34.19133,-102.55808,3752 ft.,EART
2SW Endee NM,Endee/Quay County,35.1073,-103.1244,3947 ft.,ENDE
3SSE Estelline,Estelline/Hall County,34.49807,-100.42209,1894 ft.,ESTE
Fort Chadbourne,Fort Chadbourne/Coke County,32.04165,-100.25023,2011 ft.,CHAD
Fort Lancaster,Fort Lancaster/Crockett,30.66312,-101.69082,2125 ft.,LANC
Fort McKavett,Fort McKavett/Menard County,30.8237,-100.1087,2177 ft.,MCKA
2NNE Floydada,Floydada/Floyd County,34.00158,-101.32588,3179 ft.,FLOY
3WNW Fluvanna,Northeast Borden County,32.89903,-101.20189,2705 ft.,FLUV
2NE Friona,Friona/Parmer County,34.6545,-102.69097,4005 ft.,FRIO
1WNW Fritch,Lake Meredith/Moore County,35.64817,-101.6242,3164 ft,FRIT
2 ESE Gail,Gail/Borden County,32.75508,-101.41439,2547 ft.,GAIL
3W Goodlett,Western Hardeman County,34.34389,-99.93972,1644 ft.,GOOD
Goodnight,Goodnight/Armstrong County,35.03022,-101.18506,3155 ft.,GDNT
5SSW Graham,Graham/Garza County,33.08152,-101.51615,2870 ft,MACY
10WSW Guthrie,Guthrie/King County,33.56703,-100.48061,1998 ft.,PITC
2SSE Hackberry,Hackberry/Cottle County,33.90454,-100.13218,1773 ft,HACK
1E Happy,Happy/Swisher County,34.74251,-101.84251,3612 ft.,HAPP
3N Hart,Hart/Castro County,34.42319,-102.10735,3694 ft.,HART
1NW Haskell,Haskell/Haskell County,33.17473,-99.7442,1605 ft.,HASK
1SW Hefner,Hefner/Knox County,33.52085,-99.54248,1475 ft.,HEFN
2NW Hereford,Hereford/Deaf Smith,34.83075,-102.42483,3863 ft,HERE
4SSW Hesperus CO,Old Fort Lewis/La Plata County,37.23833,-108.05175,7745 ft,FTLW
5NW Hobbs NM,"Hobbs, NM/ Lea County",32.76117,-103.19157,3691 ft,NMJC
1SSE Jayton,Jayton (Kent Co. Airport),33.23241,-100.56778,2010 ft.,JAYT
1SSW Junction,Junction (Kimble County),30.47017,-99.78036,1720 ft.,JUNC
9E Kent,I10-I20 Split (Reeves County),31.08859,-104.0549,3997 ft.,KENT
3NW Knox City,Knox City/Knox County,33.44557,-99.86497,1470 ft.,KNOX
1NW Lake Alan Henry,Eastern Garza County,33.07717,-101.05789,2321 ft.,ALAN
